Region,Countries
African Countries,"Algeria, Angola, Benin, Botswana, Burkina Faso, Burundi, Cabo Verde, Cameroon, Central African Republic, Chad, Comoros, Congo, Côte d'Ivoire, Djibouti, Egypt, Equatorial Guinea, Eritrea, Eswatini, Ethiopia, Gabon, Gambia, Ghana, Guinea, Guinea-Bissau, Kenya, Lesotho, Liberia, Libya, Madagascar, Malawi, Mali, Mauritania, Mauritius, Morocco, Mozambique, Namibia, Niger, Nigeria, Rwanda, São Tomé and Príncipe, Senegal, Seychelles, Sierra Leone, Somalia, South Africa, South Sudan, Sudan, Tanzania, Togo, Tunisia, Uganda, Zambia, Zimbabwe"
Nordic Countries,"Finland, Sweden, Norway, Denmark, Iceland"
Central Europe,"Switzerland, Austria, Poland, Hungary, Czech Republic, Slovakia"
Caribbean Countries,"Jamaica, Bahamas, Trinidad and Tobago, Barbados, Cuba, Dominican Republic, Puerto Rico"
Benelux Countries,"Belgium, Netherlands, Luxembourg"
Oceania Countries,"New Zealand, Australia, Tonga, Samoa"
Iberian Peninsula Countries,"Portugal, Spain"
South America,"Brazil, Argentina, Chile, Peru, Colombia, Venezuela, Uruguay, Paraguay, Bolivia, Ecuador"
Middle East,"Saudi Arabia, Iran, Iraq, Israel, Turkey, Lebanon, Jordan, Syria, United Arab Emirates, Qatar, Pakistan, Kuwait, Bahrain"
Eastern Europe,"Ukraine, Belarus, Moldova, Romania, Bulgaria, Serbia, Montenegro, Bosnia and Herzegovina, Estonia, Latvia, Lithuania, Croatia, Georgia, Slovenia, Armenia, Azerbaijan"
Central Asia,"Kazakhstan, Uzbekistan, Afghanistan, Tajikistan"
Southeast Asia,"Malaysia, Thailand, Vietnam, Indonesia, Philippines, Singapore, Myanmar, Brunei, Cambodia, Laos, Sri Lanka"
East Asia,"South Korea, Taiwan, Mongolia, North Korea"
Central America,"Mexico, Belize, Costa Rica, El Salvador, Guatemala, Honduras, Nicaragua, Panama"